,Min,Max,Mean,Median,Std Dev
Linear Regression,64114.991663591005,73997.08050232663,69104.07998247063,68718.76350708207,2880.328209818069
Ridge Regression,64243.343175927,73942.6489269487,69104.7029195025,68736.19807979738,2851.588778233725
Decision Tree,68960.04544399896,79094.74123726983,71629.89009727491,70525.14096159901,2914.035468468928
Fine-tuned Decision Tree,58146.76587434188,64536.69410484412,60912.43042320517,60785.10509975527,2092.519217813671
Random Forest,47210.51269766202,54055.90894608905,50435.58092066179,50812.405035740754,2203.3381412764606
